Rank,Pair,Stock A,Stock B,Correlation
1,MSFT / GOOGL,MSFT,GOOGL,0.7088
2,MSFT / AAPL,MSFT,AAPL,0.7003
3,MSFT / AMZN,MSFT,AMZN,0.6821
4,MSFT / NVDA,MSFT,NVDA,0.6616
5,GOOGL / AMZN,GOOGL,AMZN,0.6414
6,GOOGL / AAPL,GOOGL,AAPL,0.6224
7,AMZN / META,AMZN,META,0.6108
8,GOOGL / META,GOOGL,META,0.6101
9,MSFT / META,MSFT,META,0.609
10,AAPL / AMZN,AAPL,AMZN,0.5951
11,NVDA / AMZN,NVDA,AMZN,0.5839
12,GOOGL / NVDA,GOOGL,NVDA,0.5758
13,NVDA / AAPL,NVDA,AAPL,0.5721
14,AAPL / META,AAPL,META,0.5328
15,NVDA / META,NVDA,META,0.5254
