Date,Z_score,Position,Signal
2026-01-02,-0.9605,0,hold
2026-01-05,-0.8598,0,hold
2026-01-06,-0.6235,0,hold
2026-01-07,-0.4795,0,hold
2026-01-08,-0.537,0,hold
2026-01-09,-0.5258,0,hold
2026-01-12,-0.5877,0,hold
2026-01-13,-0.726,0,hold
2026-01-14,-0.9,0,hold
2026-01-15,-0.9005,0,hold
2026-01-16,-0.765,0,hold
2026-01-20,-0.6052,0,hold
2026-01-21,-0.8288,0,hold
2026-01-22,-0.7171,0,hold
2026-01-23,-0.4356,0,hold
2026-01-26,-0.5726,0,hold
2026-01-27,-0.4717,0,hold
2026-01-28,-0.4011,0,hold
2026-01-29,-1.3414,0,hold
2026-01-30,-1.4381,0,hold
2026-02-02,-1.867,0,hold
2026-02-03,-2.0983,1,enter long
2026-02-04,-2.226,1,hold
2026-02-05,-2.639,1,hold
2026-02-06,-2.5391,1,hold
2026-02-09,-2.195,1,hold
2026-02-10,-2.1766,1,hold
2026-02-11,-2.4088,1,hold
2026-02-12,-2.0852,1,hold
2026-02-13,-1.9272,1,hold
2026-02-17,-2.2504,1,hold
2026-02-18,-2.2055,1,hold
2026-02-19,-2.1048,1,hold
2026-02-20,-2.2428,1,hold
2026-02-23,-2.5624,1,hold
2026-02-24,-2.6262,1,hold
2026-02-25,-2.4347,1,hold
2026-02-26,-2.3768,1,hold
2026-02-27,-2.3275,1,hold
2026-03-02,-2.2187,1,hold
2026-03-03,-2.0787,1,hold
2026-03-04,-2.0179,1,hold
2026-03-05,-1.8419,1,hold
2026-03-06,-1.797,1,hold
2026-03-09,-1.8565,1,hold
2026-03-10,-1.9588,1,hold
2026-03-11,-1.9765,1,hold
2026-03-12,-1.8961,1,hold
2026-03-13,-1.8657,1,hold
2026-03-16,-1.8513,1,hold
2026-03-17,-1.9035,1,hold
2026-03-18,-1.941,1,hold
2026-03-19,-1.9719,1,hold
2026-03-20,-2.0997,1,hold
2026-03-23,-2.1777,1,hold
2026-03-24,-2.4111,1,hold
2026-03-25,-2.4782,1,hold
2026-03-26,-2.602,1,hold
2026-03-27,-2.6969,1,hold
2026-03-30,-2.581,1,hold
2026-03-31,-2.5319,1,hold
2026-04-01,-2.6032,1,hold
2026-04-02,-2.5187,1,hold
2026-04-06,-2.6157,1,hold
2026-04-07,-2.4753,1,hold
2026-04-08,-2.5841,1,hold
2026-04-09,-2.6575,1,hold
2026-04-10,-2.7071,1,hold
2026-04-13,-2.3694,1,hold
2026-04-14,-2.1693,1,hold
2026-04-15,-2.0021,1,hold
2026-04-16,-1.7347,1,hold
2026-04-17,-1.8721,1,hold
2026-04-20,-2.0431,1,hold
2026-04-21,-1.7337,1,hold
2026-04-22,-1.752,1,hold
2026-04-23,-2.1002,1,hold
2026-04-24,-1.8583,1,hold
2026-04-27,-1.7602,1,hold
2026-04-28,-1.7573,1,hold
2026-04-29,-1.8373,1,hold
2026-04-30,-2.2073,1,hold
2026-05-01,-2.3049,1,hold
2026-05-04,-2.2343,1,hold
2026-05-05,-2.4725,1,hold
2026-05-06,-2.5054,1,hold
2026-05-07,-2.366,1,hold
2026-05-08,-2.6287,1,hold
2026-05-11,-2.6696,1,hold
2026-05-12,-2.8231,1,hold
2026-05-13,-2.9769,1,hold
2026-05-14,-2.8733,1,hold
2026-05-15,-2.6695,1,hold
2026-05-18,-2.5785,1,hold
2026-05-19,-2.729,1,hold
2026-05-20,-2.736,1,hold
2026-05-21,-2.8235,1,hold
2026-05-22,-2.9257,1,hold
2026-05-26,-2.9653,1,hold
2026-05-27,-3.0935,1,hold
2026-05-28,-2.845,1,hold
2026-05-29,-2.3873,1,hold
2026-06-01,-2.0604,1,hold
2026-06-02,-2.6298,1,hold
2026-06-03,-2.785,1,hold
2026-06-04,-2.7939,1,hold
2026-06-05,-2.9288,1,hold
2026-06-08,-2.8892,1,hold
2026-06-09,-2.7888,1,hold
2026-06-10,-2.9422,1,hold
2026-06-11,-3.1939,1,hold
2026-06-12,-3.0726,1,hold
2026-06-15,-3.0124,1,hold
2026-06-16,-3.2079,1,hold
2026-06-17,-3.4524,1,hold
2026-06-18,-3.4924,1,hold
2026-06-22,-3.7401,1,hold
2026-06-23,-3.5227,1,hold
2026-06-24,-3.6856,1,hold
2026-06-25,-3.5185,1,hold
2026-06-26,-3.2772,1,hold
2026-06-29,-3.3243,1,hold
2026-06-30,-3.4191,1,hold
2026-07-01,-3.2947,1,hold
2026-07-02,-3.5067,1,hold
2026-07-06,-3.6833,1,hold
2026-07-07,-3.5906,1,hold
2026-07-08,-3.7749,1,hold
2026-07-09,-3.8186,1,hold
2026-07-10,-3.7814,1,hold
2026-07-13,-3.6996,1,hold
2026-07-14,-3.7744,1,hold
2026-07-15,-3.8323,1,hold
2026-07-16,-3.8446,1,hold
2026-07-17,-4.0096,1,hold
2026-07-20,-3.6711,1,hold
2026-07-21,-3.7926,1,hold
2026-07-22,-3.9096,1,hold
2026-07-23,-4.005,1,hold
2026-07-24,-4.2573,1,hold
2026-07-27,-4.1807,1,hold
2026-07-28,-4.1579,1,hold
2026-07-29,-4.1774,1,hold
2026-07-30,-2.8577,1,hold
2026-07-31,-2.0459,1,hold
