Date,Z_score,Position,Signal
2026-01-02,0.9224,0,hold
2026-01-05,1.2666,0,hold
2026-01-06,1.7862,0,hold
2026-01-07,2.0085,-1,enter short
2026-01-08,2.3679,-1,hold
2026-01-09,2.3345,-1,hold
2026-01-12,2.4424,-1,hold
2026-01-13,2.35,-1,hold
2026-01-14,2.187,-1,hold
2026-01-15,2.209,-1,hold
2026-01-16,2.2826,-1,hold
2026-01-20,1.973,-1,hold
2026-01-21,1.8521,-1,hold
2026-01-22,1.5249,-1,hold
2026-01-23,1.6925,-1,hold
2026-01-26,1.4403,-1,hold
2026-01-27,1.8582,-1,hold
2026-01-28,1.8076,-1,hold
2026-01-29,0.7464,-1,hold
2026-01-30,0.8752,-1,hold
2026-02-02,1.2647,-1,hold
2026-02-03,1.175,-1,hold
2026-02-04,1.1104,-1,hold
2026-02-05,0.3479,-1,hold
2026-02-06,-0.4639,0,exit short
2026-02-09,-0.8214,0,hold
2026-02-10,-0.866,0,hold
2026-02-11,-1.0669,0,hold
2026-02-12,-1.1506,0,hold
2026-02-13,-1.0643,0,hold
2026-02-17,-0.8625,0,hold
2026-02-18,-0.6275,0,hold
2026-02-19,-0.6457,0,hold
2026-02-20,-0.3937,0,hold
2026-02-23,-0.4972,0,hold
2026-02-24,-0.2669,0,hold
2026-02-25,-0.3226,0,hold
2026-02-26,-0.5865,0,hold
2026-02-27,-0.2894,0,hold
2026-03-02,-0.4975,0,hold
2026-03-03,-0.4935,0,hold
2026-03-04,-0.0555,0,hold
2026-03-05,0.2108,0,hold
2026-03-06,0.011,0,hold
2026-03-09,-0.006,0,hold
2026-03-10,-0.0423,0,hold
2026-03-11,-0.1838,0,hold
2026-03-12,-0.1733,0,hold
2026-03-13,0.0647,0,hold
2026-03-16,0.158,0,hold
2026-03-17,0.5003,0,hold
2026-03-18,0.1983,0,hold
2026-03-19,0.2556,0,hold
2026-03-20,0.1998,0,hold
2026-03-23,0.407,0,hold
2026-03-24,0.3613,0,hold
2026-03-25,0.6801,0,hold
2026-03-26,1.1688,0,hold
2026-03-27,0.9052,0,hold
2026-03-30,0.8401,0,hold
2026-03-31,0.7943,0,hold
2026-04-01,0.8538,0,hold
2026-04-02,0.8725,0,hold
2026-04-06,1.1326,0,hold
2026-04-07,1.1734,0,hold
2026-04-08,1.1201,0,hold
2026-04-09,1.7648,0,hold
2026-04-10,2.0718,-1,enter short
2026-04-13,2.1031,-1,hold
2026-04-14,2.2938,-1,hold
2026-04-15,2.1253,-1,hold
2026-04-16,2.1274,-1,hold
2026-04-17,2.0156,-1,hold
2026-04-20,2.1205,-1,hold
2026-04-21,2.2587,-1,hold
2026-04-22,2.5278,-1,hold
2026-04-23,2.7395,-1,hold
2026-04-24,3.0706,-1,hold
2026-04-27,2.8384,-1,hold
2026-04-28,2.8547,-1,hold
2026-04-29,3.0978,-1,hold
2026-04-30,4.1035,-1,hold
2026-05-01,4.352,-1,hold
2026-05-04,4.5563,-1,hold
2026-05-05,4.7351,-1,hold
2026-05-06,4.6935,-1,hold
2026-05-07,4.4003,-1,hold
2026-05-08,4.6069,-1,hold
2026-05-11,4.558,-1,hold
2026-05-12,4.295,-1,hold
2026-05-13,4.3398,-1,hold
2026-05-14,4.1328,-1,hold
2026-05-15,4.009,-1,hold
2026-05-18,4.1023,-1,hold
2026-05-19,3.8949,-1,hold
2026-05-20,4.2111,-1,hold
2026-05-21,4.3865,-1,hold
2026-05-22,4.2081,-1,hold
2026-05-26,4.1108,-1,hold
2026-05-27,4.1514,-1,hold
2026-05-28,4.2807,-1,hold
2026-05-29,4.1206,-1,hold
2026-06-01,4.0514,-1,hold
2026-06-02,3.7965,-1,hold
2026-06-03,2.965,-1,hold
2026-06-04,3.1392,-1,hold
2026-06-05,3.1855,-1,hold
2026-06-08,3.2583,-1,hold
2026-06-09,3.2025,-1,hold
2026-06-10,3.0115,-1,hold
2026-06-11,3.2966,-1,hold
2026-06-12,3.1187,-1,hold
2026-06-15,3.1678,-1,hold
2026-06-16,3.0554,-1,hold
2026-06-17,3.0265,-1,hold
2026-06-18,3.3317,-1,hold
2026-06-22,2.7616,-1,hold
2026-06-23,2.8835,-1,hold
2026-06-24,2.9744,-1,hold
2026-06-25,2.7207,-1,hold
2026-06-26,2.9948,-1,hold
2026-06-29,3.2953,-1,hold
2026-06-30,3.1593,-1,hold
2026-07-01,2.559,-1,hold
2026-07-02,3.119,-1,hold
2026-07-06,2.9305,-1,hold
2026-07-07,2.8052,-1,hold
2026-07-08,2.8477,-1,hold
2026-07-09,2.6251,-1,hold
2026-07-10,1.9402,-1,hold
2026-07-13,2.2572,-1,hold
2026-07-14,2.2048,-1,hold
2026-07-15,2.3972,-1,hold
2026-07-16,2.3117,-1,hold
2026-07-17,2.4138,-1,hold
2026-07-20,2.5991,-1,hold
2026-07-21,2.4687,-1,hold
2026-07-22,2.5458,-1,hold
2026-07-23,2.1118,-1,hold
2026-07-24,2.181,-1,hold
2026-07-27,2.1517,-1,hold
2026-07-28,2.1215,-1,hold
2026-07-29,1.9487,-1,hold
2026-07-30,3.3952,-1,hold
2026-07-31,5.425,-1,hold
