Entry_threshold,Window,Stop_loss,Sharpe,Sortino,Total_PnL,Max_drawdown,Num_trades
1.5,20,3.0,-0.4602,-0.4812,-0.627095,-0.885051,46
1.5,20,3.5,-0.4372,-0.4569,-0.595095,-0.857051,46
1.5,20,4.0,-0.4283,-0.4481,-0.583095,-0.849051,46
1.5,30,3.0,-0.2296,-0.238,-0.325066,-0.938608,32
1.5,30,3.5,-0.1983,-0.2058,-0.281066,-0.902608,32
1.5,30,4.0,-0.1816,-0.1884,-0.257066,-0.889166,32
1.5,60,3.0,-0.3139,-0.3178,-0.443965,-1.051226,17
1.5,60,3.5,-0.2831,-0.286,-0.399965,-1.035226,17
1.5,60,4.0,-0.2574,-0.2603,-0.363965,-1.023226,17
1.5,90,3.0,-0.0734,-0.0731,-0.101865,-0.770307,13
1.5,90,3.5,-0.0417,-0.0415,-0.057865,-0.742307,13
1.5,90,4.0,-0.0244,-0.0242,-0.033865,-0.734051,13
2.0,20,3.0,-0.0584,-0.0561,-0.076443,-0.620149,40
2.0,20,3.5,-0.0401,-0.0385,-0.052443,-0.604149,40
2.0,20,4.0,-0.0309,-0.0297,-0.040443,-0.600149,40
2.0,30,3.0,-0.1191,-0.1079,-0.154371,-0.653083,25
2.0,30,3.5,-0.0882,-0.08,-0.114371,-0.621083,25
2.0,30,4.0,-0.0728,-0.0659,-0.094371,-0.609083,25
2.0,60,3.0,-0.33,-0.2971,-0.430385,-0.825577,12
2.0,60,3.5,-0.2966,-0.2663,-0.386385,-0.805577,12
2.0,60,4.0,-0.2688,-0.2414,-0.350385,-0.785577,12
2.0,90,3.0,-0.0783,-0.0686,-0.09801,-0.627903,10
2.0,90,3.5,-0.0431,-0.0378,-0.05401,-0.613647,10
2.0,90,4.0,-0.0271,-0.0237,-0.03401,-0.609647,10
2.5,20,3.0,-0.4048,-0.2912,-0.463806,-0.768788,19
2.5,20,3.5,-0.3842,-0.2757,-0.439806,-0.744788,19
2.5,20,4.0,-0.3771,-0.271,-0.431806,-0.736788,19
2.5,30,3.0,-0.0474,-0.0334,-0.051008,-0.51274,20
2.5,30,3.5,-0.0139,-0.0098,-0.015008,-0.50074,20
2.5,30,4.0,0.0046,0.0033,0.004992,-0.49274,20
2.5,60,3.0,-0.3101,-0.2524,-0.355096,-0.552011,10
2.5,60,3.5,-0.272,-0.2208,-0.311096,-0.536011,10
2.5,60,4.0,-0.2439,-0.1981,-0.279096,-0.524011,10
2.5,90,3.0,0.206,0.1781,0.202091,-0.365184,6
2.5,90,3.5,0.2428,0.2094,0.238091,-0.365184,6
2.5,90,4.0,0.2592,0.2227,0.254091,-0.365184,6
