Entry_threshold,Window,Stop_loss,Sharpe,Total_PnL,Max_drawdown,Num_trades
1.5,20,3.0,0.2632,0.329808,-0.444304,49
1.5,20,3.5,0.1498,0.196411,-0.522203,47
1.5,20,4.0,0.2657,0.354423,-0.413845,46
1.5,30,3.0,0.0606,0.077888,-1.042431,34
1.5,30,3.5,0.2398,0.318133,-0.890048,33
1.5,30,4.0,0.2617,0.356219,-0.951648,32
1.5,60,3.0,-0.1416,-0.182259,-1.040057,21
1.5,60,3.5,-0.1582,-0.203906,-1.040057,21
1.5,60,4.0,-0.0861,-0.113026,-1.046103,18
1.5,90,3.0,0.1133,0.142064,-0.925066,16
1.5,90,3.5,0.1854,0.236586,-0.925066,15
1.5,90,4.0,0.3192,0.419658,-0.736392,14
2.0,20,3.0,0.4737,0.578376,-0.371698,43
2.0,20,3.5,0.3888,0.494745,-0.446264,41
2.0,20,4.0,0.5262,0.679662,-0.333996,40
2.0,30,3.0,0.1245,0.137688,-0.587759,26
2.0,30,3.5,0.3052,0.354486,-0.573841,26
2.0,30,4.0,0.3137,0.377174,-0.567317,25
2.0,60,3.0,-0.1576,-0.168131,-0.785775,14
2.0,60,3.5,-0.1775,-0.189778,-0.807422,14
2.0,60,4.0,-0.0306,-0.034176,-0.751743,13
2.0,90,3.0,-0.0887,-0.090123,-0.813623,14
2.0,90,3.5,-0.1266,-0.132293,-0.813623,11
2.0,90,4.0,0.0596,0.06427,-0.61706,11
2.5,20,3.0,0.1288,0.132784,-0.506253,20
2.5,20,3.5,0.0584,0.064597,-0.515354,19
2.5,20,4.0,0.2179,0.24529,-0.420396,19
2.5,30,3.0,0.0611,0.048162,-0.28475,21
2.5,30,3.5,0.2864,0.238722,-0.26977,20
2.5,30,4.0,0.3958,0.354147,-0.364729,20
2.5,60,3.0,-0.7048,-0.609659,-0.666294,11
2.5,60,3.5,-0.7277,-0.631306,-0.687941,11
2.5,60,4.0,-0.4372,-0.396859,-0.59422,11
2.5,90,3.0,0.2864,0.207716,-0.365184,8
2.5,90,3.5,0.2651,0.193725,-0.365184,7
2.5,90,4.0,0.2651,0.193725,-0.365184,7
