Entry_Date,Exit_Date,Position,Entry_Zscore,Exit_Zscore,Holding_Days,Gross_PnL,Transaction_Cost,Net_PnL
2022-01-24,2022-02-04,Long Spread,-2.336,4.2696,11,0.353919,0.004,0.349919
2022-04-11,2022-04-21,Long Spread,-1.7019,1.9973,10,0.096396,0.004,0.092396
2022-05-02,2022-05-03,Long Spread,-3.2573,-2.7702,1,-0.033513,0.004,-0.037513
2022-06-22,2022-08-01,Short Spread,2.1039,3.0865,40,-0.235589,0.004,-0.239589
2022-09-15,2022-10-28,Short Spread,1.8613,2.687,43,-0.161745,0.004,-0.165745
2023-02-03,2023-02-06,Long Spread,-3.7998,-3.1232,3,-0.039595,0.004,-0.043595
2023-04-13,2023-04-21,Long Spread,-1.6324,1.2586,8,0.096737,0.004,0.092737
2023-05-01,2023-05-02,Long Spread,-3.2939,-2.2062,1,-0.053417,0.004,-0.057417
2023-06-20,2023-08-07,Long Spread,-2.3143,0.8664,48,-0.000803,0.004,-0.004803
2023-09-22,2023-09-25,Long Spread,-3.1377,-2.2917,3,-0.000636,0.004,-0.004636
2023-12-06,2023-12-20,Short Spread,1.552,-0.6621,14,0.047549,0.004,0.043549
2024-01-05,2024-02-05,Long Spread,-2.3884,-2.4711,31,-0.153075,0.004,-0.157075
2024-04-01,2024-04-05,Short Spread,1.8548,-1.0385,4,0.052734,0.004,0.048734
2024-04-26,2024-04-29,Short Spread,3.5829,3.3992,3,-0.031948,0.004,-0.035948
2024-07-18,2024-07-23,Short Spread,0.8743,0.3362,5,0.061394,0.004,0.057394
2024-08-05,2024-08-07,Long Spread,-2.9525,-2.3933,2,-0.036022,0.004,-0.040022
2024-10-01,2024-11-01,Long Spread,-2.2767,2.3063,31,0.092327,0.004,0.088327
2024-11-04,2024-12-04,Short Spread,2.2375,0.3046,30,-0.008254,0.004,-0.012254
2024-12-23,2025-01-07,Short Spread,1.4348,-0.8895,15,0.059,0.004,0.055
2025-01-29,2025-03-11,Long Spread,-2.2041,0.0713,41,-0.078034,0.004,-0.082034
2025-03-20,2025-04-10,Short Spread,1.8184,0.6482,21,0.027259,0.004,0.023259
2025-04-17,2025-05-01,Short Spread,1.7106,-0.6882,14,0.085158,0.004,0.081158
2025-05-05,2025-07-07,Long Spread,-2.7798,0.2914,63,-0.02368,0.004,-0.02768
2025-07-16,2025-08-01,Short Spread,1.916,-2.3528,16,0.10602,0.004,0.10202
2025-08-04,2025-08-28,Long Spread,-2.995,0.3036,24,0.074166,0.004,0.070166
2025-10-31,2025-11-03,Short Spread,4.3447,3.7526,3,-0.049766,0.004,-0.053766
