Entry_threshold,Window,Stop_loss,Sharpe,Total_PnL,Max_drawdown,Num_trades
1.5,20,3.0,0.1021,0.071679,-0.394371,48
1.5,20,3.5,0.1914,0.138266,-0.399054,46
1.5,20,4.0,0.1914,0.138266,-0.399054,46
1.5,30,3.0,-0.2752,-0.184841,-0.491748,34
1.5,30,3.5,-0.125,-0.085699,-0.393977,33
1.5,30,4.0,-0.0349,-0.024275,-0.393977,33
1.5,60,3.0,-0.3163,-0.220072,-0.54833,22
1.5,60,3.5,-0.1226,-0.089556,-0.485029,20
1.5,60,4.0,-0.1226,-0.089556,-0.485029,20
1.5,90,3.0,0.1694,0.124154,-0.298881,16
1.5,90,3.5,-0.0533,-0.040938,-0.375051,15
1.5,90,4.0,-0.0533,-0.040938,-0.375051,15
2.0,20,3.0,0.2311,0.145504,-0.35665,35
2.0,20,3.5,0.198,0.127788,-0.379461,34
2.0,20,4.0,0.198,0.127788,-0.379461,34
2.0,30,3.0,-0.2279,-0.132901,-0.452642,26
2.0,30,3.5,0.0853,0.052082,-0.354268,25
2.0,30,4.0,0.0853,0.052082,-0.354268,25
2.0,60,3.0,0.009,0.005563,-0.333128,16
2.0,60,3.5,0.0556,0.037342,-0.445927,15
2.0,60,4.0,0.0556,0.037342,-0.445927,15
2.0,90,3.0,0.1386,0.094383,-0.313782,12
2.0,90,3.5,0.0456,0.033113,-0.375051,12
2.0,90,4.0,0.0456,0.033113,-0.375051,12
2.5,20,3.0,1.2421,0.576334,-0.151645,20
2.5,20,3.5,1.2421,0.576334,-0.151645,20
2.5,20,4.0,1.2421,0.576334,-0.151645,20
2.5,30,3.0,0.3873,0.175001,-0.265923,16
2.5,30,3.5,0.3622,0.177242,-0.170755,15
2.5,30,4.0,0.3622,0.177242,-0.170755,15
2.5,60,3.0,0.0124,0.005816,-0.230757,9
2.5,60,3.5,0.0174,0.009204,-0.281881,9
2.5,60,4.0,0.0174,0.009204,-0.281881,9
2.5,90,3.0,0.9165,0.401473,-0.159739,9
2.5,90,3.5,0.7151,0.358707,-0.220873,9
2.5,90,4.0,0.7151,0.358707,-0.220873,9
