Entry_Date,Exit_Date,Position,Entry_Zscore,Exit_Zscore,Holding_Days,Gross_PnL,Transaction_Cost,Net_PnL
2022-01-14,2022-01-28,Long Spread,-1.6882,-0.8544,14,0.01419,0.004,0.01019
2022-03-16,2022-03-24,Short Spread,1.9611,-0.4867,8,0.036206,0.004,0.032206
2022-04-12,2022-04-28,Long Spread,-2.8638,0.279,16,0.030008,0.004,0.026008
2022-05-26,2022-06-14,Short Spread,1.6511,0.0144,19,0.046864,0.004,0.042864
2022-06-27,2022-07-08,Short Spread,1.2064,-1.2809,11,0.027463,0.004,0.023463
2022-07-13,2022-07-14,Long Spread,-3.2487,-3.0809,1,-0.004731,0.004,-0.008731
2022-08-29,2022-09-30,Long Spread,-1.8357,0.4518,32,-0.001168,0.004,-0.005168
2022-10-31,2022-11-08,Long Spread,-1.9752,0.0841,8,0.048269,0.004,0.044269
2023-03-17,2023-04-20,Short Spread,2.5561,-0.2578,34,0.026337,0.004,0.022337
2023-04-26,2023-04-27,Long Spread,2.4752,2.601,1,-0.028754,0.004,-0.032754
2023-04-28,2023-06-09,Short Spread,2.3653,-0.1593,42,-0.001495,0.004,-0.005495
2023-07-19,2023-07-24,Short Spread,1.0753,0.0042,5,0.046268,0.004,0.042268
2023-07-28,2023-08-07,Long Spread,-1.5056,1.4159,10,0.038776,0.004,0.034776
2023-09-11,2023-09-21,Short Spread,2.1246,0.092,10,0.029171,0.004,0.025171
2023-10-26,2023-12-05,Short Spread,2.2626,-1.0124,40,0.016365,0.004,0.012365
2023-12-14,2023-12-15,Long Spread,-3.0421,-1.934,1,-0.015417,0.004,-0.019417
2024-01-11,2024-04-15,Short Spread,2.186,-0.8321,95,-0.151662,0.004,-0.155662
2024-04-26,2024-06-24,Long Spread,-1.1297,-0.1029,59,-0.077414,0.004,-0.081414
2024-07-12,2024-09-11,Long Spread,-2.511,1.5966,61,-0.061232,0.004,-0.065232
2024-09-13,2024-09-17,Short Spread,2.4384,2.8276,4,-0.06259,0.004,-0.06659
2024-12-20,2025-01-14,Long Spread,-2.7174,0.0938,25,0.009347,0.004,0.005347
2025-01-22,2025-01-31,Short Spread,2.937,-0.4627,9,0.140059,0.004,0.136059
2025-04-07,2025-04-23,Short Spread,2.4221,-0.1334,16,0.05461,0.004,0.05061
2025-05-05,2025-07-03,Short Spread,2.7204,0.0675,59,-0.096598,0.004,-0.100598
2025-08-01,2025-08-05,Short Spread,2.9556,2.2075,4,-0.033743,0.004,-0.037743
2025-09-23,2025-10-29,Long Spread,-2.394,-0.0653,36,0.016842,0.004,0.012842
2025-10-31,2025-12-22,Long Spread,-2.6228,0.2485,52,-0.070873,0.004,-0.074873
